hotelcode,hotelname,pricemin,pricemax
114412,Campanile Rennes Est - Atalante,52.74,118.65
114417,Hotel De La TA,50.23,50.23
114441,Hotel The Originals de La Tour Maje Rodez (ex Inter-Hotel),67.81,153.71
114447,Hotel Bonaparte,95.94,160.24
114454,Hotel de l'Europe,86.4,173.8
114523,Hotel Astor,146.62,297.47
114525,Premiere Classe Paris Ouest - Pont de Suresnes Hotel,53.34,80.08
114532,Campanile Marne La Vallee - Torcy,40.2,132.81
114588,Hotel Relais Saint Jean Troyes,98.45,226.05
114604,Atrium Hotel Valence Ville,88.41,177.82
114619,Quality Hotel La Marebaudiere-Vannes,68.08,120.55
114635,Hotel d'Angleterre,95.44,185.97
114648,Campanile Marseille Vitrolles Anjoly Hotel,48.52,122.44
114649,Campanile Marseille Vitrolles Griffon Hotel,49.78,166.48
114671,Kyriad Grenoble Est Meylan,43.4,70.33
114691,Adagio Paris Montrouge Aparthotel,130.6,187.67
114700,Campanile Paris Ouest Nanterre La Defense,55.55,143.36
114708,Campanile Paris Est Pantin Hotel,118.7,181.73
114714,Logis Hotel de France et d'Angleterre,74.33,109.4
114815,Comfort Hotel Metz Woippy,55.25,136.63
114820,Bestprice Hotel Aachen City,51.64,82.63
114845,Hotel Augsburg Langemarck,60.93,79.52
114901,Forsthaus Alter Foerster,51.64,80.56
114916,Antik-Hotel EICHENHOF,49.57,81.59
114919,Ringhotel Altstadt-Palais Lippischer Hof,110.51,349.09
114973,Hotel Europa,81.59,122.9
114984,Villa Antonia,65.07,169.38
115042,Hotel-Pension Gasteiner Hof,38.21,69.71
115077,Hotel Bernstein,48.85,147.02
115078,Hotel Elegia am Kurfurstendamm,87.82,306.86
115079,Hotel Adam,44.4,44.4
115086,City Hotel Antik,91.92,102.25
115175,Hotel Ott,70.23,168.35
115199,Wellness Hotel Harms,79.17,122.9
115227,Villa Rein Boutiquehotel,102.24,175.58
115310,Hotel Rosenhof,122.9,133.23
115314,Wellness Privathotel Post an der Therme,95.02,175.58
115381,Boutique Hotel Alexander,71.27,128.07
115393,Hotel Bellevue am Kurfurstendamm,37.74,113.47
115404,Hotel Astrid am Kurfuerstendamm,56.28,65.61
115453,Hotel Comenius,68.38,102.57
115480,Novum Hotel Ravenna Berlin Steglitz,55.03,85.5
115524,Hyperion Hotel Berlin,81.9,241.74
115527,Abion Spreebogen Waterside Hotel,87.66,242.73
115535,Ibis Styles Treptow,70.05,99.66
115559,Seminaris CampusHotel Lifestyle + Design Berlin,79.05,183.71
115560,Honigmond Boutique Hotel,100.64,190.43
115581,Hotel-Maison Am Olivaer Platz,60.19,115.45
115729,Hotel Kurfurstenhof,104.11,136.95
115749,City Hotel Mozart,61.96,129.1
115754,Insel Hotel Bonn - Superior,74.36,196.23
115758,Ameron Hotel Koenigshof,124.71,239.66
115787,Chillten Bottrop,68.16,154.92
115875,City Hotel,70.45,118.11
115899,IntercityHotel Celle,60.3,139.43
115900,Hotel Blumlage,77.46,139.43
115942,Moselromantik Hotel Weissmuhle,55.77,101.22
115943,Hotel Traumblick,82.63,266.46
116131,Bockshaut Hotel,92.95,128.07
116135,Ramada Darmstadt,69.71,132.2
116174,Hotel Furst Garden,76.33,216.79
116177,Hotel Drei Kronen,69.71,104.31
116218,Hotel Kipping,73.33,83.66
116227,Aparthotel am Zwinger,60.93,205.53
116283,Hotel Rheingarten,102.24,122.9
116299,Goebel's Sophien Hotel,89.7,136.33
116316,Hotel and Restaurant Gartenstadt,92.95,92.95
116358,Hotel-Restaurant Schmachtenbergshof,69.2,101.22
116427,Hotel-Restaurant Bierhausle,77.94,147.99
116452,Corbin Feng Shui Business Hotel by Libertas,91.83,142.21
116454,Landhaus Karin,50.19,99.15
116463,AHORN Berghotel Friedrichroda,55.77,232.38
116488,Hotel am Dom,87.79,113.6
116515,pentahotel Gera,69.36,81.59
116521,Landhaus Mullenborn,80.56,140.46
116538,Sport- und Tagungshotel De Poort,87.79,133.23
116576,Hotel am Badersee,164.22,386.26
116599,Wyndham Garden Gummersbach,67.31,299.51
116613,Hotel Stephan,81.59,154.92
116640,Hotel Commodore,87.79,129.1
116677,Heikotel - Stadtpark Residenz,69.2,118.78
116697,Hotel Alt Lohbruegger Hof,61.26,131.9
116701,Quality Hotel Ambassador Hamburg,72.51,194.17
116704,Boston HH Hotel,102.24,339.79
116708,Select Hotel Hamburg Nord,80.89,191.66
116744,Hotel Jugendstil,92.95,129.1
116780,Hotel Hennies,71.27,100.18
116783,Schlafgut - Hotel im Werkhof Superior,82.63,122.9
116796,Hotel Savoy Hannover,143.56,143.56
116817,Hotel Zur Alten Brucke,127.55,134.27
116907,BLOCK Hotel & Living,151.82,474.05
116927,Landhaus Michels garni,81.59,101.22
116980,Design-Konferenzhotel & Restaurant Steinernes Schweinchen,102.24,182.8
117021,Akzent City-Hotel Kleve,72.3,124.96
117073,Hotel Waldesblick,70.23,154.92
117074,City-Hotel-Lahr,90.37,141.29
117131,Days Inn by Wyndham Leipzig Messe,174.69,227.34
117140,Balance Hotel Leipzig Alte Messe,50.4,126.0
117200,Hotel Luther Birke Wittenberg,50.91,169.38
117227,Hotel Stiftswingert,51.64,154.92
117280,Hotel Bad Minden,77.46,165.24
117327,Hotel Laimer Hof Nymphenburg Palace Munich,79.63,123.94
117383,Hotel Admiral,138.5,257.17
117393,Hotel La Maison,135.71,237.54
117432,Romantik Hotel Reichshof,162.67,376.97
117510,New Landhotel,56.98,82.94
117546,Alt Enginger Muhle,72.3,92.95
117720,Hotel BurgGartenpalais,87.79,149.75
117941,Hotel Gloria Superior,91.92,112.58
118002,Hotel Atlantis,128.07,204.5
118015,Hotel Garni Seebachstuble,144.59,144.59
118029,Berghotel Kockelsberg,52.01,128.07
118072,Hotel Fresh INN,62.28,308.81
118102,Hotel Maximilian,72.6,116.75
118182,Das Kleine Hotel,98.12,118.78
118242,Sonneneck,67.13,413.12
118294,Hotel Merkur Garni,57.84,82.63
118311,Blue Sky,39.39,87.62
118314,Carolina Hotel,47.92,132.41
118315,Cecil Hotel,34.62,113.91
118334,Hotel Areos,64.72,132.02
118350,Periscope Hotel,145.07,408.93
118395,PIRAEUS DREAM CITY HOTEL,43.82,73.02
118396,Poseidonio Hotel,47.71,97.37
118399,Avalon Boutique Hotel,147.49,255.44
118471,Hotel Timon,23.75,46.58
118476,Hotel Kalvin House,66.2,113.68
118477,Jagello Hotel,40.76,81.52
118492,Hotel Passzio Panzio,28.09,46.82
118508,Soho Boutique Hotel,50.53,107.7
118535,Corvin Hotel,29.93,46.66
118559,Hotel Pannonia,46.82,83.35
118585,Athlone Springs Hotel,79.84,128.52
118674,The Kildare Street Hotel,111.97,228.81
118701,Glengarriff Park Hotel,57.04,115.87
118711,Langton House Hotel,96.39,146.05
118723,Absolute Hotel Limerick,96.39,192.3
118727,Woodfield House Hotel,57.44,125.61
118841,Pusynas Hotel & SPA Druskininkai,34.79,71.48
118852,Sfinksas Hotel,59.82,136.87
118861,Baltic Inn,88.41,143.66
118865,Kerpe,44.61,65.9
118881,A.V.Goda,37.51,82.12
118900,Hotel Rinno,39.87,59.31
118921,Hotel Parc Beaux Arts,237.11,320.8
119013,Max Brown Hotel Canal District,134.02,182.49
119100,Lloyd Hotel,65.7,173.37
119106,NH Collection Amsterdam Flower Market,157.96,421.36
119135,Hotel Blossoms City,36.5,101.38
119149,Landgoed Groot Warnsborn,137.88,198.72
119174,Best Western Museumhotels Delft,91.52,201.76
119180,Hotel de Koophandel,89.21,157.14
119185,Casa Julia,104.43,202.77
119197,Campanile Eindhoven,76.7,128.98
119199,Hampshire Hotel - Crown Eindhoven,117.53,196.68
119207,Fletcher Hotel- restaurant de Broeierd Enschede,70.97,181.48
119233,Martini Hotel,93.78,230.66
119249,Bastion Hotel Heerlen,69.95,129.97
119298,Hotel d'Orangerie,86.18,120.64
119303,Hotel Les Charmes,136.87,167.29
119310,Kruisherenhotel Maastricht,196.68,470.43
119318,Fontana Resort Bad Nieuweschans,232.17,378.16
119365,Boutique Hotel Quartier Du Port,99.46,145.99
119416,Fletcher Hotel Restaurant De Burghoeve,64.89,100.38
119424,Hotel Vroenhof,98.36,149.03
119476,Hotel Abdij de Westerburcht,75.12,145.29
119578,Mercure Czestochowa Centrum,40.21,126.36
119715,Hotel Panorama,27.13,103.99
119792,Hotel Diament Zabrze,75.24,100.37
119841,Alisios,98.0,679.94
119853,Janelas do Mar Apartamentos Turisticos,29.09,69.43
119913,Hotel Navarras by Tamega Clube,32.87,70.85
119919,Hotel Jardim,42.75,128.24
119926,Hotel Aveiro Palace,67.76,141.78
119929,Hotel Melius,57.34,93.83
119935,Comfort Inn Braga,36.22,64.64
119962,Hotel Casa do Parque,41.28,41.28
119965,Hotel D. Luis,47.29,144.17
120020,Pestana Miramar Garden Resort Aparthotel,81.19,260.21
120023,Hotel Porto Santa Maria - PortoBay,146.29,350.47
120137,Solar Dos Mouros,104.25,323.19
120152,Hotel Vasco Da Gama,50.24,166.8
120157,Hotel Apartamento Foz Atlantida,37.53,127.19
120173,Antillia Hotel,54.48,195.51
120177,Vila Gale Porto Hotel,121.98,360.72
120186,AC Hotel Porto,70.01,132.4
120193,Hotel Boa - Vista,82.36,151.17
120239,Pedras Da Rainha,51.09,148.79
120288,Hotel Cubix,65.4,68.68
120305,Hotel Est,37.85,66.4
120369,Living In Aparthotel,40.78,110.67
120371,Vienna House Easy Airport Bucharest,62.43,199.19
120420,Hotel Blue Garni,54.25,153.71
120432,Hotel Sobota,59.28,69.32
120465,Hotel Betnava,65.39,276.27
120469,Art Hotel Tartini,109.0,236.16
120483,Chess Hotel San Antonio,67.01,130.6
120484,Chess Hotel Europa,55.59,90.42
120494,Convento La Magdalena Hotel,84.99,365.54
120530,Barcelo Raval Hotel,108.5,303.8
120599,Hotel Onix Fira,54.25,215.41
120619,Evenia Rocafort Hotel,104.17,162.42
120624,Hotel Lleo,89.63,183.84
120667,Hotel Onix Liceo,80.47,113.9
120673,BCN Montjuic Hotel,289.21,402.98
120701,Corona De Castilla Hotel,59.53,156.07
120721,Hotel AR Galetamar,50.59,152.93
120743,Hotel Balcon de Cazorla,50.23,88.41
120782,Hotel Emporda,55.16,102.48
120790,Madrid-Getafe Los Angeles Hotel,46.97,170.54
120817,Los Girasoles I,35.86,155.72
120824,Hotel Universal,35.74,88.41
120826,Ana Maria,65.1,90.42
120840,Hotel Villa de Grazalema,50.04,138.63
120866,La Cueva Park,113.74,126.14
120870,La Albarizuela,40.89,53.16
120957,Santos Maydrit,70.61,233.92
121022,Occidental Castellana Norte Hotel,140.65,289.34
121057,Hotel Baviera,62.55,89.41
121063,Suites & Villas by Dunas,110.2,451.99
121088,Hotel Campoamor,57.86,175.35
121093,Hotel Palacio De La Vinona,59.79,136.63
121137,Hotel San Cayetano,27.13,59.09
121161,Room Mate Vega Hotel,63.67,78.95
121255,YH Giralda,54.25,105.48
121273,Hotel Suite Camarena,55.25,130.6
121284,Hotel Sol,58.27,94.43
121356,Hotel Lasa Sport,57.61,160.54
121390,Stakaberg Konferens & Gardshotell,90.3,90.3
121395,First Hotel Karnan,75.89,117.67
121422,"Hotel Kung Carl, BW Premier Collection",102.34,227.13
121451,Hotel Garni Golf,73.18,178.89
121475,Hotel Restaurant Resslirytti,101.74,227.7
121491,Sommerau Ticino Swiss Quality Hotel,95.83,212.96
121515,Hotel Residence CityZen,137.02,144.09
121576,Hotel Viktoria-Leukerbad-Therme,212.96,212.96
121592,Hotel La Palma Au Lac,115.19,309.76
121597,@ Home Hotel Locarno,96.8,183.92
121610,Hotel Villa Marita,56.78,151.98
121644,Astra Hotel Vevey,167.47,394.04
121650,Seehotel Gotthard,125.84,256.51
121694,Meson de Sancho,46.94,188.54
121739,Hotel Waldhorn,151.69,177.83
121759,Le Chamois Swiss Quality Hotel,91.96,106.48
121788,Sorell Hotel Krone,168.16,284.31
121790,Jolly Aretusa Palace Hotel,52.44,1058.67
121823,Hotel Rosa Spa Wellness & Beauty,66.21,175.81
121834,Hotel Centrale Spa & Relax,39.78,164.76
121835,Hotel Europa,57.27,85.39
121879,Hotel Turin,76.09,174.05
121882,AC Hotel Arezzo,62.39,129.6
121897,Hotel Pax,110.51,130.6
121984,Art Hotel Orologio,149.69,333.54
121992,HC3 Hotel,77.75,97.45
122007,Millennhotel,109.5,149.69
122019,Hotel Eberle,151.7,266.23
122033,Hotel Cristallo Brescia,54.25,85.39
122064,Ascot Lodging,55.25,115.54
122108,Hotel Royal,497.95,1087.84
122109,Hotel Villa Romeo,48.82,135.63
122117,Stesicorea Palace,30.74,109.72
122168,Grand Hotel Terme,141.05,197.1
122192,Hotel Resort Tenuta dell'Argento,85.39,100.46
122201,Hotel Borgovico,58.27,149.94
122253,Hotel Estee,53.34,123.87
122264,Grand Hotel Diana Majestic,109.18,219.42
122279,Hotel Elimo,49.73,392.7
122282,Hotel Pineta,55.25,120.55
122284,Hotel Gentile da Fabriano,65.3,135.63
122348,C-Hotels Diplomat,94.43,1227.3
122374,Hotel Accademia,109.5,199.92
122383,Hotel Berna,62.37,129.6
122400,Hotel Delle Camelie,41.19,145.67
122449,Hotel Silla,55.35,250.15
122450,Hotel Toscana,44.2,93.93
122545,Park Hotel Alcione,65.02,171.0
122548,Colonna Hotel,90.42,140.65
122556,Green Hotel Poggio Regillo,68.46,80.91
122582,AC Hotel Genova,80.47,154.71
122591,Hotel Assarotti,43.4,78.36
122596,Hotel Nologo,52.24,58.27
123803,Hotel Citta',44.76,89.51
123804,Giappone Inn Parking Hotel,45.21,85.39
123830,Hotel Carignano,46.81,110.71
123831,Hotel Hambros Il Parco in Villa Banchieri,189.88,189.88
123874,Hotel Dolomiti,90.42,90.42
123901,Baglio Cudia Resort,35.46,105.48
123956,Hotel Juliane,91.42,248.15
124205,Cesare Augusto,42.7,120.55
124220,Hotel Clarean,39.18,69.32
124231,Hotel Principe Napolit'amo,85.39,116.53
124236,Hotel Zara Napoli,16.08,99.46
124269,Relais & Chateaux Villa Crespi,410.99,1095.05
124287,Hotel La Terra,65.16,126.59
124356,Hotel Santa Caterina,75.35,95.44
124358,Residence Trivento,180.84,180.84
124366,Hotel Torino,62.28,192.89
124369,Hotel Portavaldera,70.33,90.42
124459,Hotel Villa Monica,47.02,100.46
124467,Conchiglia Azzurra Resort & Beach,76.25,203.34
124558,Hotel Rufolo,219.42,562.59
124566,Grand Hotel Mattei,94.43,169.79
124574,Terme Beach Resort,62.89,109.5
124632,Peru' Ambienthotels,41.19,131.8
124645,Hotel Arcangelo,32.05,111.61
124797,Eco Hotel Roma,44.2,129.6
124884,Hotel Romantica,54.25,882.01
124886,Hotel San Francesco,71.33,112.52
125018,Mediterranea Hotel & Convention Center,58.51,168.08
125063,Villa Ducci,101.67,266.18
125075,Hotel Gardenia,390.93,513.1
125101,Raffaello Hotel,83.18,172.31
125109,NH Milano Concordia,99.46,211.98
125124,Albergo Cannon d'Oro,41.37,85.18
125127,Borgo Grondaie Hotel,53.6,127.68
125147,Villa di STR,53.04,190.88
125241,Hotel & Spa Bellavista Francischiello,99.46,171.13
125278,Grazia Hotel,85.39,125.58
125332,Grand Hotel L'Approdo,114.53,114.53
125381,Residence Hotel Torino Uno,86.42,152.19
125393,Hotel Tiziano,66.07,95.44
125425,Hotel Le Corderie,85.39,105.48
125466,Hotel Colonne,85.9,165.76
125469,Relais sul Lago Hotel,79.37,199.92
125486,Antica Locanda Sturion Hotel,135.63,321.48
125524,Hotel Ca' Zusto,81.38,241.11
125565,Hotel Piccola Fenice,110.51,110.51
125605,Hotel Belvedere,92.43,110.51
125623,Hotel Europa,70.45,155.82
125662,Hotel Vittoria,90.42,125.58
125671,Hotel Mary,62.28,133.62
125983,Aberdeen House Hotel,25.34,59.14
125988,The Station Hotel,34.21,73.66
126015,Regent Hotel By The Lake,146.77,189.01
126022,Hillview Lodge,79.19,79.19
126024,Comfort Inn Arundel,61.92,70.74
126033,"Royal Berkshire, an Exclusive Venue",189.12,315.72
126035,Cairngorm Hotel,92.92,128.83
126036,The Rowan Tree Country Hotel,87.11,117.21
126038,The Lion Waddesdon,126.71,126.71
126047,Fairfield House Hotel,78.4,161.02
126048,Grange View Bed and Breakfast,62.3,79.19
126061,Wroxton House Hotel,84.58,177.39
126062,Cromwell Lodge Hotel by Greene King Inns,52.8,84.48
126065,Mercure Banbury Whately Hall Hotel,47.31,115.1
126066,Red Lion Hotel by Greene King Inns,89.75,137.27
126070,The Lismore Hotel,63.36,126.71
126071,Fife Lodge Hotel,107.7,247.09
126075,The Park Hotel,90.81,209.71
126096,Old Mill Hotel And Lodge,93.98,168.95
126112,The Chequers Inn,126.71,179.51
126113,The Ollerod,168.94,258.71
126114,The Montagu Arms,157.34,315.72
126116,The Bulkeley Hotel,79.19,177.39
126121,Embankment Hotel,89.75,153.1
126129,Park Inn by Radisson Belfast,67.58,133.05
126133,Tara Lodge,89.75,110.87
126134,Ten Square Hotel,126.71,781.39
126135,The Crescent Townhouse,42.23,84.48
126157,Heath Lodge Hotel nr NEC,51.74,104.54
126184,Courtneys Of Gynn Square,57.02,195.13
126272,The Angus Hotel,136.21,149.94
126291,Durley Grange Hotel,42.23,137.27
126300,Laguna Hotel,29.56,61.24
126339,Court Colman Manor,73.91,633.55
126340,Days Inn by Wyndham Bridgend Cardiff M4,44.88,68.64
126346,Best Western Henbury Lodge Hotel,117.45,147.39
126357,Winford Manor Hotel - Bristol Airport,57.44,162.61
126366,Holiday Inn Birmingham Bromsgrove,92.07,166.05
126378,Holiday Inn Express Burnley M65 Jct 10,71.8,116.03
126384,Riverside Hotel by Greene King Inns,100.32,121.43
126387,Best Western Bolholt Country Park Hotel,46.57,146.77
126389,Buckingham Hotel,55.44,89.75
126390,Old Hall Hotel,125.65,183.73
126402,Lakeside International Hotel,93.98,125.66
126410,Arundel House Hotel,84.47,205.9
126419,DoubleTree by Hilton Cambridge City Centre,165.15,419.67
126428,Regent Hotel,158.39,236.78
126435,Broome Park Golf and Country Club by Diamond Resorts,137.8,318.89
126451,Park Inn By Radisson Cardiff City Centre,116.76,354.79
126457,The Royal Hotel Cardiff,56.98,94.99
126459,Dalston Hall Hotel,125.66,142.55
126463,Dobbins Inn,80.25,84.48
126466,The Ship & Trades,105.59,158.39
126471,Best Western Ivy Hill Hotel,121.17,262.86
126477,Pontlands Park Hotel,139.12,248.14
126484,Charlton Kings Hotel,56.6,85.53
126491,Citrus Hotel Cheltenham by Compass Hospitality,61.77,202.64
126498,The Beaufort Hotel,58.07,105.59
126506,Doubletree By Hilton Chester Hotel,147.97,448.77
126518,The Sandpiper Hotel; Sure Hotel Collection by Best Western,42.76,81.31
126520,The Millstream Hotel & Restaurant,79.19,200.62
126521,The Goodwood Hotel,168.94,221.74
126523,The Castle Inn,153.1,174.23
126549,Days Inn Corley,62.82,84.48
126555,Barrington Lodge,58.07,140.43
126556,Copthorne London Gatwick,71.27,209.05
126569,Knock Castle Hotel & Spa,72.86,357.96
126577,Bannatyne Hotel Darlington,68.64,105.49
126578,B/W Plus The Croft Hotel,84.58,163.96
126586,Rowhill Grange Hotel & Utopia Spa,241.8,474.11
126593,pentahotel Derby,50.27,91.13
126598,Holiday Inn Express Doncaster,51.69,87.86
126600,Owston Hall Hotel,40.67,92.28
126603,Beverley Inn & Hotel,36.96,47.52
126605,Park Inn By Radisson Doncaster Hotel,36.96,94.08
126612,Mercure Box Hill Burford Bridge Hotel,140.44,197.46
126616,Dornoch Castle Hotel,110.87,191.12
126632,Loch Ness Hotel,46.46,277.03
126634,Quality Hotel Dudley,41.55,89.66
126637,Best Western Woodlands Hotel,66.52,180.56
126640,The New Dundee Carlton Hotel,82.36,101.37
126642,Pitbauchlie House Hotel,51.32,152.05
126652,The Kings Lodge Inn,84.58,157.34
126653,Lumley Castle Hotel,67.25,166.31
126655,"Ramside Hall Hotel, Golf & Spa",93.22,396.19
126659,Macdonald Crutherland House Hotel,59.14,145.72
126666,Hydro Hotel,58.07,263.98
126668,Langham Hotel,50.46,232.3
126676,The Cumberland Hotel,101.37,101.37
126677,The Devonshire Park Hotel,47.52,179.51
126682,The Palm Court Hotel,38.01,84.47
126684,The Sheldon B&B,42.12,139.38
126694,Ardmillan Hotel,47.52,61.24
126707,Corstorphine Lodge Hotel,47.35,127.51
126715,The Dunstane Houses,121.96,395.97
126734,Kildonan Lodge Hotel,110.66,252.37
126759,The Cameron B&B,42.23,79.19
126776,York House B&B,59.14,59.14
126786,Gipsy Hill Hotel,69.21,131.99
126787,Best Western Lord Haldon Hotel,55.44,153.1
126794,The Devon Hotel,68.64,124.59
126798,Hotel Cladhan,63.36,153.1
126818,The Royal Duchy Hotel,69.69,224.87
126824,Falcon Hotel,62.3,167.89
126826,Farnham House Hotel,95.03,139.38
126837,Lismoyne Hotel,64.88,142.55
126839,Best Western Clifton Hotel,113.13,237.58
126847,The Carlton Hotel,33.79,71.81
126855,Windsor Hotel,47.52,62.51
126859,Cluny Bank Hotel,95.03,179.51
126865,Langshott Manor - A Small Luxury Hotel,115.09,231.25
126885,Jurys Inn Glasgow,58.69,108.34
126889,Number 10 Hotel,62.3,157.02
126901,Best Western Balgeddie House Hotel,81.11,153.1
126907,Eden House Hotel,48.47,68.21
126909,The Red House,40.13,86.58
126912,Grant Arms Hotel,73.91,147.83
126920,The Grand at Grasmere,200.62,200.62
126922,Cotford Hotel,89.75,190.07
126923,The Malvern,162.61,162.61
126927,Andover House Hotel & Restaurant,77.83,131.88
126959,"Humber Royal Hotel - ""A Bespoke Hotel""",52.8,144.67
126979,Rudding Park,250.25,368.51
126980,Sherwood Hotel - B&B,31.68,73.91
126987,The Studley Hotel,128.83,158.39
127001,The White Rock Hotel,93.98,125.66
127005,Feversham Arms Hotel and Verbena Spa,100.32,422.36
127018,Battlesteads,110.87,184.78
127021,Clifton Lodge Hotel,58.07,71.81
127024,Boathouse Hotel,68.64,126.71
127034,Ramada by Wyndham Hounslow - Heathrow East,69.32,159.96
127051,Best Western Huddersfield Pennine Manor Hotel,61.77,105.59
127053,The Briar Court Hotel,92.4,155.75
127054,Three Swans Hotel,89.75,153.1
127056,Caley Hall Hotel,126.71,126.71
127057,The Lifeboat Inn,163.67,216.46
127059,George Hotel by Greene King Inns,89.75,142.55
127108,The Kenmore Hotel,65.57,516.35
127109,Dale Head Hall Lakeside Hotel,152.05,263.98
127112,Lyzzick Hall Hotel,163.46,242.87
127113,Inn on the Square,89.75,285.1
127115,The George Hotel,126.71,126.71
127117,The King's Head,68.64,162.61
127118,The Kings Arms Hotel,118.26,179.51
127119,Kettering Park Hotel and Spa,110.87,191.02
127120,Rushton Hall Hotel and Spa,147.83,147.83
127121,The Royal Hotel,27.37,74.13
127124,Brockencote Hall Hotel,126.71,316.78
127127,The Bridge Of Lochay Hotel,126.71,174.23
127129,The Falls Of Dochart Inn,101.74,170.01
127131,The Park Hotel,63.36,79.19
127133,Stuart House Hotel,89.75,163.67
127144,Kirklands Hotel,79.19,158.39
127152,The Lodge Lancaster,68.01,142.55
127170,Malmaison Leeds,89.75,224.91
127174,The Boundary Hotel,28.51,147.83
127194,The Cathedral Hotel,78.99,99.78
127200,Holiday Inn Express Lincoln City Centre,71.8,267.58
127218,Hope Street Hotel,97.14,273.48
127233,Posh Pads Liverpool One Apart-Hotel,79.19,278.76
127250,Bella Vista Hotel & Italian Restaurant,42.18,115.09
127252,Bodysgallen Hall And Spa Hotel,242.86,454.05
127264,Gwesty Links,102.58,158.39
127273,Shelbourne Hotel,52.8,95.03
127291,Thomas Arms Hotel,60.19,89.75
127293,Abbey Grange Hotel,73.91,105.59
127304,Sure Hotel by Best Western Lockerbie,63.36,147.83
127307,Adria Hotel,80.46,159.38
127327,Bridge Park Hotel,38.01,129.35
127330,Mornington Hotel London Victoria,113.72,620.88
127338,The Cleveland Hotel,90.3,275.38
127342,Hotel Columbus,103.59,210.12
127345,Comfort Inn Victoria,134.73,262.92
127355,Durrants Hotel,207.11,657.63
127361,Euro Hotel,92.92,115.09
127373,Grantly Hotel,109.5,204.85
127374,The Jade Hotel,72.86,120.21
127379,Hotel Henry VIII,80.93,401.25
127380,Holland Inn Hotel,55.17,84.48
127397,Kensington Suite Hotel,65.44,157.34
127425,Melbourne House Hotel,110.87,206.96
127426,The Melita,149.21,287.15
127435,Montagu Place Hotel,188.17,435.04
127452,Pasha Hotel London,50.37,71.27
127457,Regency House Hotel,103.69,252.58
127472,The Springfield Hotel,60.19,135.42
127473,St George's Inn Victoria,94.93,183.73
127479,Star Hotel - B&B,71.81,108.76
127487,Sydney House Chelsea Hotel,225.96,315.72
127532,Quorn Country Hotel,70.22,121.43
127539,Best Western Hotel Hatfield,51.74,122.55
127541,Ivy House Country Hotel,104.54,211.19
127547,Leaside Hotel,66.52,163.46
127561,Fredrick's Hotel Restaurant Spa,117.84,268.2
127572,The Black Horse Inn,93.98,131.99
127589,Malmaison Manchester,93.98,159.44
127611,The Westlynne Hotel & Apartments,63.36,126.71
127622,The Baltimore Hotel,68.93,159.66
127624,Spread Eagle Hotel And Spa,189.01,474.11
127627,The Riverside House Hotel,116.16,147.83
127628,Best Western Moore Place Hotel,75.08,147.01
127647,Links Hotel,82.58,131.99
127656,Donnington Valley Hotel and Spa,153.1,269.26
127659,The Carnarvon Arms,79.19,100.32
127669,Rutland Arms Hotel,84.48,163.67
127678,Pine Lodge Hotel,47.52,110.87
127679,The Quies Hotel,52.8,68.64
127689,Porth Beach Hotel,84.48,100.32
127697,Redworth Hall Hotel,75.08,199.57
127699,Creebridge House Hotel,73.91,137.27
127701,Macdonald Marine Hotel and Spa,87.85,458.27
127702,Queensferry Hotel,83.46,112.85
127708,Wincham Hall Hotel,63.36,95.03
127717,Best Western Plus Oaklands Hotel,55.59,158.45
127747,Barnsdale Hall Hotel,63.36,131.99
127749,Best Western Normanton Park Hotel,52.27,126.71
127752,The Old Plough,84.48,121.43
127757,Wynnstay Hotel and Spa,90.28,131.99
127762,Cotswold Lodge Hotel,105.59,168.94
127763,Eurobar Cafe and Hotel,76.03,130.14
127770,Remont Oxford Hotel,106.8,168.79
127779,The Old Custom House,95.03,216.46
127808,Best Western Plus Orton Hall Hotel & Spa,90.28,161.02
127812,Peterborough Marriott Hotel,99.26,257.64
127817,Buchan Braes Hotel,79.19,105.59
127828,Atholl Palace,115.09,357.96
127832,Jewells Guest Accommodation,45.4,89.75
127841,Holiday Inn Express Poole,50.71,158.09
127842,Harbour Heights Hotel,94.08,167.89
127845,Sandbanks Hotel,62.3,120.38
127852,Adelphi Portrush,104.54,104.54
127856,Portrush Atlantic Hotel,65.57,104.54
127859,Seacrest Hotel,72.86,205.9
127864,Farington Lodge Hotel,93.98,141.5
127874,Comfort Inn Ramsgate,46.11,146.77
127876,Spencer Court,47.52,58.07
127877,The Oak Hotel,60.19,79.19
127878,The Pegwell Bay Hotel,89.75,106.86
127879,The Royal Harbour Hotel Ramsgate,83.41,242.87
127887,De Vere Wokefield Estate,94.08,268.21
127892,pentahotel Reading,80.78,380.13
127898,The Abbey House Hotel,52.8,146.77
127899,The Bath Hotel,58.07,110.87
127903,Mercure George Hotel Reading,58.08,96.09
127904,The Great House At Sonning,80.78,161.56
127905,The Mill House,97.67,153.1
127912,Glynhill Leisure Hotel & Conference Venue,95.03,216.46
127930,Campanile Hotel Runcorn,37.7,68.38
127935,Mermaid Inn,95.03,253.42
127936,Rye Lodge Hotel,80.78,168.94
127950,County Hotel,49.63,133.05
127951,"Philipburn Hotel, BW Signature Collection",102.75,263.98
127955,Jurys Inn Sheffield,56.07,208.02
127962,Whitley Hall Hotel,79.19,116.16
127969,Prince Rupert Hotel,93.98,237.58
127977,"Baylis House Hotel, Sure Hotel Collection by Best Western",67.08,143.3
127980,Grovefield House Hotel,89.75,137.27
